,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,dimension,,,,100
3,,N_run,,,,20
4,,n_picard,,,,3
5,,Number of trees,,,,200
6,,Max Leaf nodes,,,,1000
7,,Min_samples_leaf,,,,40
0,,,run 1,,48801.18,2.0287242065430267
1,,,run 2,,48524.844,2.0287242065430267
2,,,run 3,,48530.945,2.0287242065430267
3,,,run 4,,48629.159,2.0287242065430267
4,,,run 5,,48610.736,2.0287242065430267
5,,,run 6,,19408.77,2.035268577558602
6,,,run 7,,19319.382,2.035268577558602
7,,,run 8,,19423.642,2.035268577558602
8,,,run 9,,19747.225,2.035268577558602
9,,,run 10,,19766.886,2.035268577558602
10,,,run 11,,20206.468,2.0530839110485637
11,,,run 12,,20290.315,2.0530839110485637
12,,,run 13,,20234.819,2.0530839110485637
13,,,run 14,,20238.391,2.0530839110485637
14,,,run 15,,20745.197,2.0530839110485637
15,,,run 16,,26934.898,2.019371100372469
16,,,run 17,,26859.622,2.019371100372469
17,,,run 18,,26661.267,2.019371100372469
18,,,run 19,,26676.148,2.019371100372469
19,,,run 20,,26374.541,2.019371100372469
0,,,,mean,,2.0341
1,,,,std,,0.0126
2,,,,95% confidence interval,,"[2.0329, 2.0353]"
3,,,,min,,2.0194
4,,,,max,,2.0531
