,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10
max_leaf_nodes = 1000,7.1735,7.2593,7.1853,7.1787,7.1975,7.2308,7.2409,7.2011,7.1653,7.2109
max_leaf_nodes = 2000,7.1993,7.2095,7.1403,7.1712,7.1588,7.1892,7.2062,7.1502,7.1457,7.2038
max_leaf_nodes = 3000,7.1171,7.1286,7.15,7.1546,7.1741,7.1831,7.1505,7.2003,7.2352,7.1444
max_leaf_nodes = 4000,7.1293,7.1645,7.1105,7.1754,7.1497,7.1686,7.2081,7.1251,7.1413,7.1862
max_leaf_nodes = 5000,7.1676,7.1187,7.1096,7.1061,7.135,7.1267,7.0614,7.1632,7.1382,7.1188
max_leaf_nodes = 6000,7.1517,7.1347,7.166,7.1362,7.1263,7.13,7.1421,7.1239,7.1554,7.2235
max_leaf_nodes = 7000,7.1342,7.0606,7.1206,7.1107,7.1498,7.1167,7.1093,7.1154,7.0468,7.134
max_leaf_nodes = 8000,7.1287,7.0671,7.2012,7.1532,7.1367,7.1345,7.0979,7.1244,7.1404,7.1353
max_leaf_nodes = 9000,7.144,7.1045,7.1345,7.1208,7.1698,7.1105,7.2025,7.1358,7.1661,7.1084
max_leaf_nodes = 10000,7.1697,7.1046,7.1081,7.1285,7.162,7.1258,7.1376,7.0937,7.107,7.165
max_leaf_nodes = 11000,7.0749,7.115,7.1248,7.1341,7.0141,7.0789,7.1049,7.132,7.0544,7.1076
max_leaf_nodes = 12000,7.0725,7.1121,7.1086,7.1207,7.1873,7.1293,7.1204,7.1461,7.1288,7.0813
max_leaf_nodes = 13000,7.1324,7.145,7.112,7.1864,7.105,7.1324,7.1243,7.0889,7.1124,7.1324
max_leaf_nodes = 14000,7.1163,7.1228,7.1388,7.1147,7.0564,7.0886,7.1227,7.0938,7.1007,7.1195
max_leaf_nodes = 15000,7.2309,7.1358,7.0314,7.1097,7.0719,7.0746,7.0888,7.1275,7.1462,7.1347
max_leaf_nodes = 16000,7.1006,7.0858,7.1268,7.1201,7.1279,7.1353,7.1891,7.1662,7.1485,7.1072
max_leaf_nodes = 17000,7.0685,7.1446,7.1726,7.1376,7.1327,7.1793,7.0974,7.1044,7.1615,7.0945
max_leaf_nodes = 18000,7.1959,7.1652,7.0785,7.0928,7.1336,7.1357,7.1086,7.1094,7.1438,7.1783
max_leaf_nodes = 19000,7.1434,7.1362,7.1096,7.1346,7.1088,7.143,7.0905,7.1812,7.1678,7.1746
